Algorithm,Plaintext,Ciphertext,Key
Columnar Transposition,4e6586d91f359ba056776a14e7dc1b27,59 50 74 C7 E6 FB 6A 7B 48 19 56 E1 6D 3A 71 D2,"['K', 'E', 'Y', '1']"
Columnar Transposition,4e6586d91f359ba056776a14e7dc1b27,07 BB 91 A2 94 6A 86 D1 57 E6 45 67 5C F7 1E 3D,"['K', 'E', 'Y', '2']"
Scytale,4e6586d91f359ba056776a14e7dc1b27,48 19 56 E1 E6 FB 6A 7B 6D 3A 71 D2 59 50 74 C7,4
Columnar Transposition,e0905dc26b252d87c3e035b99b4642ac,02 57 09 6C 0D BD 35 B2 E5 62 C3 94 9C 28 EB 4A,"['K', 'E', 'Y', '1']"
Columnar Transposition,e0905dc26b252d87c3e035b99b4642ac,7C D2 24 8A 29 D5 53 CB 00 03 EC 9E 56 BB 69 24,"['K', 'E', 'Y', '2']"
Scytale,e0905dc26b252d87c3e035b99b4642ac,E5 62 C3 94 0D BD 35 B2 9C 28 EB 4A 02 57 09 6C,4
Columnar Transposition,a4f134e4d651dbde28f60063d09834bb,14 1E 63 8B 44 6B 80 04 A3 DD 20 D3 FE 5D F6 9B,"['K', 'E', 'Y', '1']"
Columnar Transposition,a4f134e4d651dbde28f60063d09834bb,EB B4 D3 DB 43 40 30 E6 16 48 A2 FF 18 60 DD 59,"['K', 'E', 'Y', '2']"
Scytale,a4f134e4d651dbde28f60063d09834bb,A3 DD 20 D3 44 6B 80 04 FE 5D F6 9B 14 1E 63 8B,4
Columnar Transposition,d05f8ef6650d93699abc936a47d2ca52,F6 D9 CA 22 0E 53 A3 7A D8 69 99 4C 5F 06 B6 D5,"['K', 'E', 'Y', '1']"
Columnar Transposition,d05f8ef6650d93699abc936a47d2ca52,92 3A 9C 65 6A E3 89 F6 FC 0A D9 5B D2 57 64 0D,"['K', 'E', 'Y', '2']"
Scytale,d05f8ef6650d93699abc936a47d2ca52,D8 69 99 4C 0E 53 A3 7A 5F 06 B6 D5 F6 D9 CA 22,4
Columnar Transposition,f5c256543e06c381d4504504541f89bf,24 61 04 FF 56 E3 45 49 F5 3C D4 58 C5 08 50 1B,"['K', 'E', 'Y', '1']"
Columnar Transposition,f5c256543e06c381d4504504541f89bf,1F 39 C8 8B 44 65 54 50 20 54 FD C5 6F E4 35 01,"['K', 'E', 'Y', '2']"
Scytale,f5c256543e06c381d4504504541f89bf,F5 3C D4 58 56 E3 45 49 C5 08 50 1B 24 61 04 FF,4
Columnar Transposition,03095b2bbd8c8f2f74c8ad2c38c69a56,9B CF 8C 66 3B DF 4D 8A 05 B8 7A 39 02 82 C2 C5,"['K', 'E', 'Y', '1']"
Columnar Transposition,03095b2bbd8c8f2f74c8ad2c38c69a56,F6 FA 89 25 BC BD 5A 22 98 34 07 0C C6 D8 B3 8C,"['K', 'E', 'Y', '2']"
Scytale,03095b2bbd8c8f2f74c8ad2c38c69a56,05 B8 7A 39 3B DF 4D 8A 02 82 C2 C5 9B CF 8C 66,4
Columnar Transposition,ab45184d694d382dcaaef42e2375671e,5D DD EE 5E B8 98 A4 37 A1 63 CF 26 44 42 A2 71,"['K', 'E', 'Y', '1']"
Columnar Transposition,ab45184d694d382dcaaef42e2375671e,DE 87 36 21 DE 84 1F 42 5E BA AC 4A D5 93 62 47,"['K', 'E', 'Y', '2']"
Scytale,ab45184d694d382dcaaef42e2375671e,A1 63 CF 26 B8 98 A4 37 44 42 A2 71 5D DD EE 5E,4
Columnar Transposition,3c80319b3154d5e1d59b71ae86b9624d,0B 41 BE 9D C1 15 51 62 33 3D D7 86 89 5E 9A B4,"['K', 'E', 'Y', '1']"
Columnar Transposition,3c80319b3154d5e1d59b71ae86b9624d,1D 52 D6 E4 BE 11 37 9A 0B C5 3D 89 49 16 38 5B,"['K', 'E', 'Y', '2']"
Scytale,3c80319b3154d5e1d59b71ae86b9624d,33 3D D7 86 C1 15 51 62 89 5E 9A B4 0B 41 BE 9D,4
Columnar Transposition,69fa25402bdac9e12cecce3bb31d8dd1,A0 A1 CB D1 95 B9 CE 3D 62 2C 2C B8 F4 DE E3 1D,"['K', 'E', 'Y', '1']"
Columnar Transposition,69fa25402bdac9e12cecce3bb31d8dd1,11 9D C8 ED 0B 5E 2C 43 AC 9C 62 FE AD B3 2B D1,"['K', 'E', 'Y', '2']"
Scytale,69fa25402bdac9e12cecce3bb31d8dd1,62 2C 2C B8 95 B9 CE 3D F4 DE E3 1D A0 A1 CB D1,4
Columnar Transposition,5ff78958899d7c6efc1b95694890d0be,78 DE B9 0E F9 9C C5 80 58 87 F9 4D F5 96 16 9B,"['K', 'E', 'Y', '1']"
Columnar Transposition,5ff78958899d7c6efc1b95694890d0be,EE C0 7D 6B 89 95 89 56 7B FC 5F F1 D0 98 84 99,"['K', 'E', 'Y', '2']"
Scytale,5ff78958899d7c6efc1b95694890d0be,58 87 F9 4D F9 9C C5 80 F5 96 16 9B 78 DE B9 0E,4
Columnar Transposition,2ee20c31f95382b43a30bc4da81479a7,21 34 0D 47 EC 92 AC 89 20 F8 3B A7 E3 5B 34 1A,"['K', 'E', 'Y', '1']"
Columnar Transposition,2ee20c31f95382b43a30bc4da81479a7,47 29 87 BA 1D CC 0B 34 20 EA 23 E3 34 98 FA 51,"['K', 'E', 'Y', '2']"
Scytale,2ee20c31f95382b43a30bc4da81479a7,20 F8 3B A7 EC 92 AC 89 E3 5B 34 1A 21 34 0D 47,4
Columnar Transposition,f9cdaa0e5c24699cf651b73ba13404ce,DE 4C 1B 4E 9A C9 67 14 FA 56 FB A0 C0 29 53 3C,"['K', 'E', 'Y', '1']"
Columnar Transposition,f9cdaa0e5c24699cf651b73ba13404ce,CE 94 60 9C EB A7 AB 03 D1 96 FF C5 44 C1 5A 23,"['K', 'E', 'Y', '2']"
Scytale,f9cdaa0e5c24699cf651b73ba13404ce,FA 56 FB A0 9A C9 67 14 C0 29 53 3C DE 4C 1B 4E,4
Columnar Transposition,7b3b66c005ad2dcfcf653dc4a2e6af8b,B0 DF 54 6B B6 5D FD 2F 76 02 C3 AA 3C AC 6C E8,"['K', 'E', 'Y', '1']"
Columnar Transposition,7b3b66c005ad2dcfcf653dc4a2e6af8b,FB DF 2A C8 04 6D 63 CC B5 BF 7C 36 D6 52 0A AE,"['K', 'E', 'Y', '2']"
Scytale,7b3b66c005ad2dcfcf653dc4a2e6af8b,76 02 C3 AA B6 5D FD 2F 3C AC 6C E8 B0 DF 54 6B,4
Columnar Transposition,5a67d28a0fd682e038f7cb6ab80f517b,7A 60 7A FB A2 F2 8B 81 5D 08 3C B5 68 DE F6 07,"['K', 'E', 'Y', '1']"
Columnar Transposition,5a67d28a0fd682e038f7cb6ab80f517b,0B 21 85 E7 AA 2B DC 86 77 A8 53 6F 6F F8 0B D0,"['K', 'E', 'Y', '2']"
Scytale,5a67d28a0fd682e038f7cb6ab80f517b,5D 08 3C B5 A2 F2 8B 81 68 DE F6 07 7A 60 7A FB,4
Columnar Transposition,e3505c9b7153a3ddf761394a4379f1d7,0B 3D 1A 97 3C 13 79 31 E5 7A F3 4F 59 5D 64 7D,"['K', 'E', 'Y', '1']"
Columnar Transposition,e3505c9b7153a3ddf761394a4379f1d7,D7 31 AF DD BA C9 53 94 01 37 EF 56 39 13 74 57,"['K', 'E', 'Y', '2']"
Scytale,e3505c9b7153a3ddf761394a4379f1d7,E5 7A F3 4F 3C 13 79 31 59 5D 64 7D 0B 3D 1A 97,4
Columnar Transposition,50cfdac42a856fdad7c71da5ea49ee04,F4 5A 75 94 0A AF 7D AE 5D 26 D1 EE CC 8D CA 40,"['K', 'E', 'Y', '1']"
Columnar Transposition,50cfdac42a856fdad7c71da5ea49ee04,A4 FE 6E D0 45 AD D1 CA F7 07 5D CC 59 AA 2E 84,"['K', 'E', 'Y', '2']"
Scytale,50cfdac42a856fdad7c71da5ea49ee04,5D 26 D1 EE 0A AF 7D AE CC 8D CA 40 F4 5A 75 94,4
Columnar Transposition,b30ad993b06b91e7daeda60122331ba8,A3 B7 D1 38 39 01 A6 2B BD B9 DA 21 09 6E E0 3A,"['K', 'E', 'Y', '1']"
Columnar Transposition,b30ad993b06b91e7daeda60122331ba8,78 1B 91 EA 31 96 DA 90 AD 3A BD 0E B3 02 B2 63,"['K', 'E', 'Y', '2']"
Scytale,b30ad993b06b91e7daeda60122331ba8,BD B9 DA 21 39 01 A6 2B 09 6E E0 3A A3 B7 D1 38,4
Columnar Transposition,e5f9ebeca97ffccf19fb923301b8765a,9C FF B3 8A 5B 9C 92 16 EE AF 19 07 FE 7C F3 B5,"['K', 'E', 'Y', '1']"
Columnar Transposition,e5f9ebeca97ffccf19fb923301b8765a,FA C6 F7 C5 C3 B2 E9 E3 9B 59 E1 FF F8 91 A0 7B,"['K', 'E', 'Y', '2']"
Scytale,e5f9ebeca97ffccf19fb923301b8765a,EE AF 19 07 5B 9C 92 16 FE 7C F3 B5 9C FF B3 8A,4
Columnar Transposition,747127639d483b7187ad36d33d2de1e0,13 81 D3 D0 47 DB 76 D1 72 93 83 3E 76 47 AD 2E,"['K', 'E', 'Y', '1']"
Columnar Transposition,747127639d483b7187ad36d33d2de1e0,10 B1 3E 7E 33 76 23 6D 1D 47 78 7A 8D DD 93 42,"['K', 'E', 'Y', '2']"
Scytale,747127639d483b7187ad36d33d2de1e0,72 93 83 3E 47 DB 76 D1 76 47 AD 2E 13 81 D3 D0,4
Columnar Transposition,cf73572a55471fcc79a2b07aa8581a90,3A 7C 2A 80 F7 5F 90 8A C5 51 7B A1 72 4C A7 59,"['K', 'E', 'Y', '1']"
Columnar Transposition,cf73572a55471fcc79a2b07aa8581a90,C0 FA 11 C9 AA 70 5B 27 32 F9 C7 7A 78 58 5A 45,"['K', 'E', 'Y', '2']"
Scytale,cf73572a55471fcc79a2b07aa8581a90,C5 51 7B A1 F7 5F 90 8A 72 4C A7 59 3A 7C 2A 80,4
Columnar Transposition,4087f25e661d04c442dec76b087773e4,7E D4 EB 74 02 64 27 83 4F 60 4C 07 85 1C D6 7E,"['K', 'E', 'Y', '1']"
Columnar Transposition,4087f25e661d04c442dec76b087773e4,44 43 07 CE EB 27 FC 56 7E 02 44 8D D7 68 60 17,"['K', 'E', 'Y', '2']"
Scytale,4087f25e661d04c442dec76b087773e4,4F 60 4C 07 02 64 27 83 85 1C D6 7E 7E D4 EB 74,4
Columnar Transposition,e2368afc853203fd0c599b66b65a9918,6C 2D 96 A8 2A 53 CB 69 E8 80 09 B9 3F 3F 56 51,"['K', 'E', 'Y', '1']"
Columnar Transposition,e2368afc853203fd0c599b66b65a9918,D8 39 09 F1 C6 AB 89 F6 69 2C E0 35 2A 56 8B 35,"['K', 'E', 'Y', '2']"
Scytale,e2368afc853203fd0c599b66b65a9918,E8 80 09 B9 2A 53 CB 69 3F 3F 56 51 6C 2D 96 A8,4
Columnar Transposition,5f3dbd609a984f076abcb8f825f4ca59,D0 87 C8 49 FD AF A8 5A 5B 94 6B 2C 36 90 BF F5,"['K', 'E', 'Y', '1']"
Columnar Transposition,5f3dbd609a984f076abcb8f825f4ca59,79 FA 4C 05 08 D8 BB 6F DC FA 56 3B 84 A5 92 9F,"['K', 'E', 'Y', '2']"
Scytale,5f3dbd609a984f076abcb8f825f4ca59,5B 94 6B 2C FD AF A8 5A 36 90 BF F5 D0 87 C8 49,4
Columnar Transposition,24c22d8f2f666b6823e0f72d8fe23122,2F 68 0D 22 4D FB 37 F1 22 26 2F 83 C8 66 E2 E2,"['K', 'E', 'Y', '1']"
Columnar Transposition,24c22d8f2f666b6823e0f72d8fe23122,82 B1 63 62 FD D7 2F 82 20 43 22 CE 62 FF 28 6E,"['K', 'E', 'Y', '2']"
Scytale,24c22d8f2f666b6823e0f72d8fe23122,22 26 2F 83 4D FB 37 F1 C8 66 E2 E2 2F 68 0D 22,4
Columnar Transposition,ba1e3bdf24307be2428a506c487a1474,EF 02 AC A4 AB 4B 20 84 B3 27 45 41 1D 3E 86 77,"['K', 'E', 'Y', '1']"
Columnar Transposition,ba1e3bdf24307be2428a506c487a1474,24 B4 71 E7 FC B0 35 D6 EA A2 B4 18 0A 48 24 37,"['K', 'E', 'Y', '2']"
Scytale,ba1e3bdf24307be2428a506c487a1474,B3 27 45 41 AB 4B 20 84 1D 3E 86 77 EF 02 AC A4,4
Columnar Transposition,78397bd5a84fc86b063b9a97545ea193,95 FB B7 E3 8B 88 6A 41 77 AC 09 5A 3D 46 39 59,"['K', 'E', 'Y', '1']"
Columnar Transposition,78397bd5a84fc86b063b9a97545ea193,B3 81 CA 69 57 BA 79 D9 9B 86 70 33 FE 84 A5 45,"['K', 'E', 'Y', '2']"
Scytale,78397bd5a84fc86b063b9a97545ea193,77 AC 09 5A 8B 88 6A 41 3D 46 39 59 95 FB B7 E3,4
Columnar Transposition,01ec197a3139d26aa392faca6a96f7c6,CA 9A 2A 66 19 12 3A A7 01 3D AF 6F E7 36 9C 9C,"['K', 'E', 'Y', '1']"
Columnar Transposition,01ec197a3139d26aa392faca6a96f7c6,A6 27 DF 6C AA 9A 1F 7C C2 13 0A E9 96 1A 36 39,"['K', 'E', 'Y', '2']"
Scytale,01ec197a3139d26aa392faca6a96f7c6,01 3D AF 6F 19 12 3A A7 E7 36 9C 9C CA 9A 2A 66,4
Columnar Transposition,1357e62e3f824dc13ebcbf334e960159,7E 21 C3 69 36 FD EF E1 1E 34 3B 40 52 8C B3 95,"['K', 'E', 'Y', '1']"
Columnar Transposition,1357e62e3f824dc13ebcbf334e960159,19 D1 40 C5 E3 6F EB 23 7C 3E 13 5B 26 FE 34 89,"['K', 'E', 'Y', '2']"
Scytale,1357e62e3f824dc13ebcbf334e960159,1E 34 3B 40 36 FD EF E1 52 8C B3 95 7E 21 C3 69,4
Columnar Transposition,25b2a213d5096cffe4cfecf8f3e2dab2,23 9F F8 22 52 5C 4C 3A 2A D6 EE FD B1 0F CF EB,"['K', 'E', 'Y', '1']"
Columnar Transposition,25b2a213d5096cffe4cfecf8f3e2dab2,F2 CA 6D FB 38 2C AE 1F 2F 54 2E BC 92 53 DF 0E,"['K', 'E', 'Y', '2']"
Scytale,25b2a213d5096cffe4cfecf8f3e2dab2,2A D6 EE FD 52 5C 4C 3A B1 0F CF EB 23 9F F8 22,4
Columnar Transposition,9e9c8b97d3b47538391491262f78f9b3,C7 48 46 83 EB 35 91 F9 98 D7 39 2F 99 B3 12 7B,"['K', 'E', 'Y', '1']"
Columnar Transposition,9e9c8b97d3b47538391491262f78f9b3,83 59 7F 3B 76 B1 89 92 C4 E9 93 91 48 3F D2 B7,"['K', 'E', 'Y', '2']"
Scytale,9e9c8b97d3b47538391491262f78f9b3,98 D7 39 2F EB 35 91 F9 99 B3 12 7B C7 48 46 83,4
Columnar Transposition,d3267b26d9810e0f00faea4c3024cec7,66 1F AC 47 3B 9E 0A 0E D7 D0 0E 3C 22 80 F4 2C,"['K', 'E', 'Y', '1']"
Columnar Transposition,d3267b26d9810e0f00faea4c3024cec7,F7 EE 0C 0C 6C BA 7E 24 6A 30 D0 2F 14 90 D3 82,"['K', 'E', 'Y', '2']"
Scytale,d3267b26d9810e0f00faea4c3024cec7,D7 D0 0E 3C 3B 9E 0A 0E 22 80 F4 2C 66 1F AC 47,4
Columnar Transposition,4d1d4001d970572843feecb42b0a67b5,D1 08 E4 A5 D0 97 3C B7 44 D5 4E 26 10 72 FB 0B,"['K', 'E', 'Y', '1']"
Columnar Transposition,4d1d4001d970572843feecb42b0a67b5,85 77 56 2B 14 0C 4E 0B DE D3 44 1F 0A 9B D2 70,"['K', 'E', 'Y', '2']"
Scytale,4d1d4001d970572843feecb42b0a67b5,44 D5 4E 26 D0 97 3C B7 10 72 FB 0B D1 08 E4 A5,4
Columnar Transposition,ec8ccfc68e26c8a3516d1435c9739306,C6 63 D5 36 CF E8 14 93 EC 8C 51 C9 8C 2A 63 70,"['K', 'E', 'Y', '1']"
Columnar Transposition,ec8ccfc68e26c8a3516d1435c9739306,36 83 C9 A0 65 F4 C1 C3 CD C1 E5 86 63 E9 8C 27,"['K', 'E', 'Y', '2']"
Scytale,ec8ccfc68e26c8a3516d1435c9739306,EC 8C 51 C9 CF E8 14 93 8C 2A 63 70 C6 63 D5 36,4
Columnar Transposition,b630c17fd15d21ec376c1c39eb30447d,0F DC C9 0D 61 11 7C B4 BC D2 31 E4 37 5E 63 37,"['K', 'E', 'Y', '1']"
Columnar Transposition,b630c17fd15d21ec376c1c39eb30447d,CD 14 24 E7 F9 1C C1 73 0C 67 B3 36 D0 1B DE 53,"['K', 'E', 'Y', '2']"
Scytale,b630c17fd15d21ec376c1c39eb30447d,BC D2 31 E4 61 11 7C B4 37 5E 63 37 0F DC C9 0D,4
Columnar Transposition,53e9f2002606e3e8a31bc6858e35eff9,90 68 B5 59 32 63 36 EF 5F 2E AC 8E E0 0E 18 3F,"['K', 'E', 'Y', '1']"
Columnar Transposition,53e9f2002606e3e8a31bc6858e35eff9,89 3F EE EF 05 26 FC 08 9B 33 5A E1 65 6E 28 03,"['K', 'E', 'Y', '2']"
Scytale,53e9f2002606e3e8a31bc6858e35eff9,5F 2E AC 8E 32 63 36 EF E0 0E 18 3F 90 68 B5 59,4
Columnar Transposition,5c65a0f2222ce170f805417a60355b70,52 C0 5A 50 C0 21 81 0B 5A 2E F4 65 6F 27 07 37,"['K', 'E', 'Y', '1']"
Columnar Transposition,5c65a0f2222ce170f805417a60355b70,00 1B E5 77 2A 01 A4 F7 55 C8 5F 60 C5 20 26 23,"['K', 'E', 'Y', '2']"
Scytale,5c65a0f2222ce170f805417a60355b70,5A 2E F4 65 C0 21 81 0B 6F 27 07 37 52 C0 5A 50,4
Columnar Transposition,d2f81e30a5f32b2b161430f30b649dc3,80 3B 43 43 2E 5B 60 BD D1 A2 13 09 F3 F2 1F 6C,"['K', 'E', 'Y', '1']"
Columnar Transposition,d2f81e30a5f32b2b161430f30b649dc3,B3 BD 29 2C 03 E0 13 3F 84 26 D1 F1 34 5B A0 F6,"['K', 'E', 'Y', '2']"
Scytale,d2f81e30a5f32b2b161430f30b649dc3,D1 A2 13 09 2E 5B 60 BD F3 F2 1F 6C 80 3B 43 43,4
Columnar Transposition,4281e5609083a21a74d777571d24c6e3,10 3A 77 43 25 02 47 D6 4E 9A 77 1C 86 81 D5 2E,"['K', 'E', 'Y', '1']"
Columnar Transposition,4281e5609083a21a74d777571d24c6e3,A3 26 AC 1E 07 57 E7 65 17 24 47 8D 34 0D 91 82,"['K', 'E', 'Y', '2']"
Scytale,4281e5609083a21a74d777571d24c6e3,4E 9A 77 1C 25 02 47 D6 86 81 D5 2E 10 3A 77 43,4
Columnar Transposition,f525c141eddd8e07817c332ec5442ee2,51 D7 CE 42 51 DE 13 5E FC E8 83 C2 24 D0 72 4E,"['K', 'E', 'Y', '1']"
Columnar Transposition,f525c141eddd8e07817c332ec5442ee2,72 EE 82 0E 1E 13 C3 42 5C 51 F8 27 D4 D5 EC D4,"['K', 'E', 'Y', '2']"
Scytale,f525c141eddd8e07817c332ec5442ee2,FC E8 83 C2 51 DE 13 5E 24 D0 72 4E 51 D7 CE 42,4
Columnar Transposition,26b9e646dd1c86162260a132f21edb14,96 C6 02 E4 66 D6 21 2B 2E D8 2A FD B4 11 63 11,"['K', 'E', 'Y', '1']"
Columnar Transposition,26b9e646dd1c86162260a132f21edb14,64 6B 8D 11 62 61 EA 43 90 62 22 B6 CE D2 DF 11,"['K', 'E', 'Y', '2']"
Scytale,26b9e646dd1c86162260a132f21edb14,2E D8 2A FD 66 D6 21 2B B4 11 63 11 96 C6 02 E4,4
Columnar Transposition,dddad4f139f4e708929d81cd8a6a8b14,A1 48 DD A4 D4 97 21 AB DD 3E 98 88 DF F0 9C 61,"['K', 'E', 'Y', '1']"
Columnar Transposition,dddad4f139f4e708929d81cd8a6a8b14,84 7B E8 01 1D 41 D8 FC AD D2 D9 D9 4A 9A 38 F6,"['K', 'E', 'Y', '2']"
Scytale,dddad4f139f4e708929d81cd8a6a8b14,DD 3E 98 88 D4 97 21 AB DF F0 9C 61 A1 48 DD A4,4
Columnar Transposition,e8a15d76ba50a7e9e460aa5a6746ee38,16 09 0A 68 8D A7 4A 7E E5 BA EA 6E A7 5E 65 43,"['K', 'E', 'Y', '1']"
Columnar Transposition,e8a15d76ba50a7e9e460aa5a6746ee38,98 7E AE E3 6A DA 5A 75 10 84 EE A6 06 A7 B6 54,"['K', 'E', 'Y', '2']"
Scytale,e8a15d76ba50a7e9e460aa5a6746ee38,E5 BA EA 6E 8D A7 4A 7E A7 5E 65 43 16 09 0A 68,4
Columnar Transposition,586034f22b80c8aa57bf587f6c6dda91,02 0A FF D1 84 B8 78 CA 53 2C 55 6D 6F 8A B7 69,"['K', 'E', 'Y', '1']"
Columnar Transposition,586034f22b80c8aa57bf587f6c6dda91,A1 8A CD A9 2F 48 35 F7 0F 87 55 6B 0D BC 26 86,"['K', 'E', 'Y', '2']"
Scytale,586034f22b80c8aa57bf587f6c6dda91,53 2C 55 6D 84 B8 78 CA 6F 8A B7 69 02 0A FF D1,4
Columnar Transposition,504f43bdedf1b194fcf373e20cc07ba4,FD 14 32 04 03 D1 C3 CB 54 EB F7 07 4B F9 FE CA,"['K', 'E', 'Y', '1']"
Columnar Transposition,504f43bdedf1b194fcf373e20cc07ba4,44 1B B7 9A D2 33 47 BE F3 0C 5F 4F 10 DC E0 FC,"['K', 'E', 'Y', '2']"
Scytale,504f43bdedf1b194fcf373e20cc07ba4,54 EB F7 07 03 D1 C3 CB 4B F9 FE CA FD 14 32 04,4
Columnar Transposition,9037fcb0ba41be8205112a682570b193,70 12 18 03 0C AE 5A 51 9F BB 02 2B 3B 48 16 79,"['K', 'E', 'Y', '1']"
Columnar Transposition,9037fcb0ba41be8205112a682570b193,23 E1 BB 89 08 CA F2 B6 71 05 90 31 10 A5 B2 47,"['K', 'E', 'Y', '2']"
Scytale,9037fcb0ba41be8205112a682570b193,9F BB 02 2B 0C AE 5A 51 3B 48 16 79 70 12 18 03,4
Columnar Transposition,a5c90ad9649bdfe079cb1d094d8552b4,99 B0 B9 54 5A 4F 9D D2 A0 6D 71 45 CD 9E C0 8B,"['K', 'E', 'Y', '1']"
Columnar Transposition,a5c90ad9649bdfe079cb1d094d8552b4,04 F2 D5 EB 99 AD 01 D0 9B 59 A7 CC B5 4D 64 98,"['K', 'E', 'Y', '2']"
Scytale,a5c90ad9649bdfe079cb1d094d8552b4,A0 6D 71 45 5A 4F 9D D2 CD 9E C0 8B 99 B0 B9 54,4
Columnar Transposition,15ca980ae93b5bd6589ff93820315f46,AA B6 F8 16 58 9B 89 0F 19 E5 5F 25 C0 3D 93 34,"['K', 'E', 'Y', '1']"
Columnar Transposition,15ca980ae93b5bd6589ff93820315f46,66 BF 55 D4 A8 89 9F 03 AF 58 15 C9 B1 90 E2 33,"['K', 'E', 'Y', '2']"
Scytale,15ca980ae93b5bd6589ff93820315f46,19 E5 5F 25 58 9B 89 0F C0 3D 93 34 AA B6 F8 16,4
Columnar Transposition,aa80504797a7c8d3b10a53179e7e6fc0,07 73 A7 E0 A0 78 13 EF A5 9C B5 96 84 AD 01 7C,"['K', 'E', 'Y', '1']"
Columnar Transposition,aa80504797a7c8d3b10a53179e7e6fc0,30 8F C6 DC 77 03 55 41 0A A1 AB 80 7E 7E 99 A7,"['K', 'E', 'Y', '2']"
Scytale,aa80504797a7c8d3b10a53179e7e6fc0,A5 9C B5 96 A0 78 13 EF 84 AD 01 7C 07 73 A7 E0,4
Columnar Transposition,75a69c71eb5e988e98a0c8d1ec7f0878,61 EE 01 F8 5C B8 88 C8 79 E9 9C E0 A7 58 AD 77,"['K', 'E', 'Y', '1']"
Columnar Transposition,75a69c71eb5e988e98a0c8d1ec7f0878,E8 88 90 87 11 C8 9C 7D 60 58 79 AA EF BC EE 57,"['K', 'E', 'Y', '2']"
Scytale,75a69c71eb5e988e98a0c8d1ec7f0878,79 E9 9C E0 5C B8 88 C8 A7 58 AD 77 61 EE 01 F8,4
Columnar Transposition,8bdea9b7c2e508f96a35894f46022af0,E7 59 5F 20 B9 28 A9 6A 8A C0 68 42 DB EF 34 0F,"['K', 'E', 'Y', '1']"
Columnar Transposition,8bdea9b7c2e508f96a35894f46022af0,90 8A 02 FF 7F 99 A8 B4 E5 BA 86 D3 52 26 C4 E0,"['K', 'E', 'Y', '2']"
Scytale,8bdea9b7c2e508f96a35894f46022af0,8A C0 68 42 B9 28 A9 6A DB EF 34 0F E7 59 5F 20,4
Columnar Transposition,2effd49d21801ca8ac5ed862be94605d,FD 08 E2 4D E4 1C C8 E0 2D 21 AD B6 F9 8A 56 95,"['K', 'E', 'Y', '1']"
